"phenotype","name","coefficient","p_value","p_adj"
"FNL","PL7_1",-0.210789895034174,0.895821487560757,0.975873620491719
"FNL","PL7_2",1.39452929445212,0.220171093316073,0.615997812993604
"FNL","PL7_3",5.74684286254003,0.175976735551112,0.572159504298233
"FNL","PL7_4",0.19633943266211,0.973014572809422,0.988719018112141
"FNL","PL7_5",-0.160063450835277,0.954450383013717,0.988449198446836
"FNL","PL8",9.42603299206794,0.00376068674972534,0.318730045575416
"FNL","PL8_2",2.22010232806436,0.65925599559258,0.86106905546786
"FNL","PL8_3",-4.93654033927098,0.329841188481866,0.66156436964971
"FNL","PL9",-5.90972012489358,0.123464110707777,0.51261200943101
"FNL","PL9_1",-1.95240018059445,0.707408140399909,0.907653164813087
"FNL","PL9_2",2.1607114202314,0.610451549195258,0.854403626621271
"FNL","PL9_3",8.34132538075627,0.00563309740190183,0.318730045575416
"FNL","PL9_4",-7.40502369150201,0.0815942136152578,0.505190418892659
"MSPD","AA1",-9.73799180972762,0.686139490157249,0.981271055767903
"MSPD","AA10",-15.034722201761,0.179588209865588,0.72029944166347
"MSPD","AA12",22.9969283493295,0.119204108184729,0.680847550857005
"MSPD","AA1_2",-23.6892101615406,0.486753736196104,0.936909447114306
"MSPD","AA1_3",15.1859289672421,0.0270473067362894,0.329719548785242
"MSPD","AA2",4.28251431977072,0.66209818752009,0.977337673872676
"MSPD","AA3",12.0074022834815,0.603408613469364,0.967441637099535
"MSPD","AA3_1",-6.86013606869095,0.558186471041924,0.944443945429994
"MSPD","AA3_2",-3.35276183807942,0.862534287125954,0.998241039710807
"MSPD","AA3_4",7.79761039757392,0.0606351086354235,0.526189417310793
